duration,resource_count,is_critical,slack,delayed
15.592142946841285,3,0,13.28482166093811,0
9.05812957516502,2,1,6.62814360890393,0
17.242659438271957,4,1,0.7211430669676303,1
14.098676566657597,5,1,0.16373501025014242,1
2.336458283809166,2,1,0.2647867618494646,0
19.524635856916742,6,0,1.0250546475774778,1
15.342224188811883,5,0,2.1995155323319953,0
15.8282539529006,2,0,2.186111240839932,0
2.9982158371731447,7,1,1.6282207193904616,1
9.282525788963559,1,1,7.363230602071543,0
7.730561472535334,5,1,5.622747751026428,0
18.571917282547734,4,1,7.094685909593437,0
13.055369841572958,5,0,0.4809071536310857,0
16.543851458781184,6,1,0.4866831684912203,1
9.146576877132958,5,1,4.014867232880334,0
4.931155074803149,5,1,0.3839117626667009,1
11.31440334680878,6,1,3.768588587027159,1
1.7444364940314188,5,1,0.24919871559180384,0
16.63880785385535,6,0,2.2986981200424426,1
12.817455782880264,3,1,0.2044933191018585,1
15.28271093166479,2,0,0.9669042288885125,1
7.4132563785324335,2,1,1.0387023614163873,0
19.428611475700613,5,1,4.59210290375635,1
17.915861865782855,4,1,0.3432898132399948,0
15.678478192938357,1,0,3.628693616266678,1
4.295454803113367,2,0,0.9608834754712272,0
9.601059572677167,7,1,2.533916025335443,1
1.3541734328509611,6,1,6.888952103311797,0
3.5086450953171826,6,0,4.3702526205638375,1
13.819454588227865,2,1,4.973642158078843,1
15.022862040202433,1,1,10.115688795892687,0
19.366439782467094,3,1,0.3149715146066504,0
6.853594483693963,6,0,8.84046535637071,0
7.723964267679944,4,1,8.22408799061644,0
9.656338319878255,6,0,2.4846040169474333,0
4.194691502143571,4,1,5.741653678749027,1
3.033469354041697,4,1,0.05314226853170342,0
9.776246061405708,5,0,2.2486499224233123,0
4.92473230649224,7,1,1.8175763958376756,0
13.561372896308951,4,0,12.14159823923995,0
9.02446241801045,5,1,0.8931595723981902,1
16.73722482312783,7,0,2.2569622795639255,1
14.155169489043859,3,1,0.587632122419818,1
6.591149506949801,6,0,2.328493984981111,1
16.72906612720642,4,0,4.8939426120776695,0
16.192904971187637,7,0,3.669197355253972,1
8.0558283910884,4,1,0.0086200794381972,1
